video,#Run_Number,#EventID,#InteractionType,#PID,#DeepCoreQTotal
run120000_event8358_rot80deg_slowmo14.mp4,120000,8358,1,0.283,24
run120000_event8365_rot80deg_slowmo14.mp4,120000,8365,1,0.977,23
run120000_event8911_rot80deg_slowmo14.mp4,120000,8911,2,0.218,26
run120000_event9525_rot80deg_slowmo14.mp4,120000,9525,1,0.198,24
run120000_event9961_rot80deg_slowmo14.mp4,120000,9961,1,0.202,26
run120000_event10082_rot80deg_slowmo14.mp4,120000,10082,1,0.252,26
run120000_event10192_rot80deg_slowmo14.mp4,120000,10192,1,0.161,23
run120000_event11306_rot80deg_slowmo14.mp4,120000,11306,2,0.757,24
run120000_event12439_rot80deg_slowmo14.mp4,120000,12439,1,0.988,22
run120000_event14718_rot80deg_slowmo14.mp4,120000,14718,2,0.178,25
run120000_event16362_rot80deg_slowmo14.mp4,120000,16362,2,0.945,22
run120000_event20374_rot80deg_slowmo14.mp4,120000,20374,1,0.823,23
run120000_event20527_rot80deg_slowmo14.mp4,120000,20527,1,0.8,24
run120000_event30697_rot80deg_slowmo14.mp4,120000,30697,2,0.139,24
run120000_event36681_rot80deg_slowmo14.mp4,120000,36681,2,0.098,26
