video,#Run_Number,#EventID,#InteractionType,#PID,#DeepCoreQTotal,#PIDGroup
event3012_filenumber000000_directory_141154.mp4,,3012,1,,,bad
event3020_filenumber000000_directory_141154.mp4,,3020,1,,,good
event3076_filenumber000000_directory_141154.mp4,,3076,1,,,good
event3101_filenumber000000_directory_141154.mp4,,3101,1,,,good
event3228_filenumber000000_directory_141154.mp4,,3228,2,,,uncertain
event3250_filenumber000000_directory_141154.mp4,,3250,2,,,good
event3281_filenumber000000_directory_141154.mp4,,3281,1,,,uncertain
event3342_filenumber000000_directory_141154.mp4,,3342,1,,,uncertain
event3448_filenumber000000_directory_141154.mp4,,3448,1,,,bad
event3622_filenumber000000_directory_141154.mp4,,3622,1,,,good
event3628_filenumber000000_directory_141154.mp4,,3628,1,,,bad
event3785_filenumber000000_directory_141154.mp4,,3785,1,,,uncertain
event3910_filenumber000000_directory_141154.mp4,,3910,1,,,uncertain
event4905_filenumber000000_directory_141154.mp4,,4905,1,,,bad
event5177_filenumber000000_directory_141154.mp4,,5177,2,,,good
event5318_filenumber000000_directory_141154.mp4,,5318,2,,,good
event19202_filenumber000000_directory_141154.mp4,,19202,2,,,uncertain
event37327_filenumber000000_directory_141154.mp4,,37327,2,,,uncertain
event14600_filenumber000001_directory_141154.mp4,,14600,2,,,bad
event20540_filenumber000002_directory_141154.mp4,,20540,2,,,bad
event15108_filenumber000004_directory_141154.mp4,,15108,2,,,bad
