EventID,Event_type,pid_type
3012,track,track_pid_did_bad
3020,track,track_pid_did_good
3076,track,track_pid_did_good
3101,track,track_pid_did_good
3228,cascade,cascade_pid_was_notsure
3250,cascade,cascade_pid_did_good
3281,track,track_pid_was_notsure
3342,track,track_pid_was_notsure
3448,track,track_pid_did_bad
3622,track,track_pid_did_good
3628,track,track_pid_did_bad
3785,track,track_pid_was_notsure
3910,track,track_pid_was_notsure
4905,track,track_pid_did_bad
5177,cascade,cascade_pid_did_good
5318,cascade,cascade_pid_did_good
19202,cascade,cascade_pid_was_notsure
37327,cascade,cascade_pid_was_notsure
14600,cascade,cascade_pid_did_bad
20540,cascade,cascade_pid_did_bad
15108,cascade,cascade_pid_did_bad
