video,Run_Number,EventID,InteractionType,PID,DeepCoreQTotal
run120000_event8358_rot80deg_slowmo14.mp4,120000,8358,1,0.283,24
run120000_event8630_rot80deg_slowmo14.mp4,120000,8630,1,0.109,23
run120000_event8824_rot80deg_slowmo14.mp4,120000,8824,2,0.2,24
run120000_event8911_rot80deg_slowmo14.mp4,120000,8911,2,0.218,26
run120000_event8960_rot80deg_slowmo14.mp4,120000,8960,1,0.214,25
run120000_event9139_rot80deg_slowmo14.mp4,120000,9139,1,0.151,22
run120000_event9411_rot80deg_slowmo14.mp4,120000,9411,1,0.254,25
run120000_event9525_rot80deg_slowmo14.mp4,120000,9525,1,0.198,24
run120000_event9961_rot80deg_slowmo14.mp4,120000,9961,1,0.202,26
run120000_event9977_rot80deg_slowmo14.mp4,120000,9977,1,0.148,26
run120000_event10082_rot80deg_slowmo14.mp4,120000,10082,1,0.252,26
run120000_event10192_rot80deg_slowmo14.mp4,120000,10192,1,0.161,23
run120000_event10302_rot80deg_slowmo14.mp4,120000,10302,2,0.288,22
run120000_event10879_rot80deg_slowmo14.mp4,120000,10879,1,0.787,26
run120000_event11802_rot80deg_slowmo14.mp4,120000,11802,1,0.776,22
run120000_event12439_rot80deg_slowmo14.mp4,120000,12439,1,0.988,22
run120000_event13107_rot80deg_slowmo14.mp4,120000,13107,2,0.074,22
run120000_event15139_rot80deg_slowmo14.mp4,120000,15139,1,0.741,26
run120000_event15443_rot80deg_slowmo14.mp4,120000,15443,2,0.145,23
run120000_event15932_rot80deg_slowmo14.mp4,120000,15932,1,0.708,25
run120000_event19991_rot80deg_slowmo14.mp4,120000,19991,1,0.84,22
run120000_event20527_rot80deg_slowmo14.mp4,120000,20527,1,0.8,24
run120000_event27187_rot80deg_slowmo14.mp4,120000,27187,2,0.146,25
run120000_event39598_rot80deg_slowmo14.mp4,120000,39598,2,0.264,24
run120000_event42015_rot80deg_slowmo14.mp4,120000,42015,2,0.187,24
run120000_event8365_rot80deg_slowmo14.mp4,120000,8365,1,0.977,23
run120000_event9944_rot80deg_slowmo14.mp4,120000,9944,1,0.74,22
run120000_event11379_rot80deg_slowmo14.mp4,120000,11379,2,0.145,24
run120000_event12544_rot80deg_slowmo14.mp4,120000,12544,1,0.815,24
run120000_event13095_rot80deg_slowmo14.mp4,120000,13095,2,0.153,24
run120000_event14718_rot80deg_slowmo14.mp4,120000,14718,2,0.178,25
run120000_event15323_rot80deg_slowmo14.mp4,120000,15323,1,0.846,23
run120000_event15438_rot80deg_slowmo14.mp4,120000,15438,1,0.777,25
run120000_event16042_rot80deg_slowmo14.mp4,120000,16042,2,0.297,23
run120000_event20374_rot80deg_slowmo14.mp4,120000,20374,1,0.823,23
run120000_event28476_rot80deg_slowmo14.mp4,120000,28476,2,0.263,26
run120000_event30697_rot80deg_slowmo14.mp4,120000,30697,2,0.139,24
run120000_event36681_rot80deg_slowmo14.mp4,120000,36681,2,0.098,26
run120000_event8938_rot80deg_slowmo14.mp4,120000,8938,1,0.941,22
run120000_event11662_rot80deg_slowmo14.mp4,120000,11662,1,0.701,26
run120000_event9275_rot80deg_slowmo14.mp4,120000,9275,2,0.781,22
run120000_event17039_rot80deg_slowmo14.mp4,120000,17039,2,0.894,23
run120000_event11769_rot80deg_slowmo14.mp4,120000,11769,2,0.85,22
run120000_event19567_rot80deg_slowmo14.mp4,120000,19567,2,0.926,22
run120000_event40808_rot80deg_slowmo14.mp4,120000,40808,2,0.781,22
run120000_event8957_rot80deg_slowmo14.mp4,120000,8957,2,0.879,24
run120000_event16362_rot80deg_slowmo14.mp4,120000,16362,2,0.945,22
run120000_event11306_rot80deg_slowmo14.mp4,120000,11306,2,0.757,24
run120000_event16525_rot80deg_slowmo14.mp4,120000,16525,2,0.748,22
run120000_event16481_rot80deg_slowmo14.mp4,120000,16481,2,0.871,23
